24,2,9,5,4,9,8,1,1,3,5,8,5,7,4,4,6,40,40,1,100,0,0,0,0,0,0,0,0,0,100,1,50,1,50,0,80,0,0,40,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,33
27,2,1,1,9,9,1,9,9,1,9,9,9,1,1,9,1,100,50,1,100,1,100,1,100,1,100,0,100,1,50,1,50,1,50,1,50,20,40,60,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,31
29,1,3,6,4,5,2,2,4,9,1,4,6,8,6,2,6,50,50,1,100,0,20,0,10,0,0,0,0,1,0,0,30,1,0,0,30,30,50,70,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,35
30,1,1,9,9,1,5,9,6,5,4,7,5,8,5,3,2,50,49,1,100,1,20,1,30,1,10,0,0,1,50,1,50,1,50,1,50,80,85,90,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,41
31,1,1,9,9,4,5,9,6,5,4,7,5,8,5,3,2,50,50,1,99,0,0,0,30,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,39
36,2,9,5,3,9,8,1,1,1,1,9,5,1,1,8,9,55,55,1,100,1,50,1,60,1,20,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,49
37,1,1,9,9,4,5,8,6,5,4,7,5,8,5,3,3,50,45,1,100,1,30,1,40,1,10,1,5,1,46,1,46,1,46,1,46,20,40,80,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,27
38,2,7,4,5,8,5,2,4,1,1,6,2,7,7,5,3,55,55,1,100,0,30,1,50,0,0,0,0,1,50,1,50,1,100,0,50,0,100,50,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,29
41,1,1,9,9,5,5,9,6,5,4,7,5,8,5,3,1,50,50,1,100,0,0,0,10,0,0,0,0,1,50,1,50,1,50,1,50,5,10,15,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,46
45,2,8,5,5,8,6,2,3,2,6,8,5,6,3,6,4,70,50,1,100,0,20,0,30,0,10,0,0,1,100,1,100,1,50,0,100,20,30,50,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,38
